name,id,fb_id,fb_name,type,lat,lon
Rosen House,a1s0O000002z4uTQAQ,23842862680800024,swl - North London - Harrow - RL Rosen House,Retirement Living,51.585218,-0.33471
Rugby,a1s3X000002XXydQAG,23846263079640024,new - West Midlands - Rugby - RLP Rugby,Retirement Living Plus,52.36966,-1.2697
Rutherford House,a1s0O000002z4ufQAA,23842606703790024,swl - North London - Chalfont St Peter - RLP Rutherford House,Retirement Living Plus,51.6053136,-0.5593328
Ryland Place,a1s0O000002z4vMQAQ,23845859293330024,swl-upw - West Midlands - Edgbaston - RLP Ryland Place,Retirement Living Plus,52.4702476,-1.9429309
Scott Place,a1s0O000002z4mBQAQ,23842815380890024,swl - West Midlands - Lichfield - RL Scott Place,Retirement Living,52.68482,-1.82606
Scudamore Place,a1s0O000002z57eQAA,23843992257610024,twl - West Midlands - Gloucester - RL Scudamore Place,Retirement Living,51.85916,-2.25761
Seymour Court,a1s0O000002z4uOQAQ,23845859087420024,swl-upw - North East - South Shields - RL Seymour Court,Retirement Living,54.97746,-1.42204
Shackleton Place,a1s0O000002z4m5QAA,23845858431220024,swl-upw - Southern - Devizes - RLP Shackleton Place,Retirement Living Plus,51.3549856,-2.0059247
Shepheard's House,a1s0O000002z4uLQAQ,23842703949020024,swl - South East - Chislehurst - RLP Shepheard's House,Retirement Living Plus,51.4091,0.0772
Shilling Place,a1s0O000002z5D8QAI,23845859048550024,swl-upw - Southern - Purbrook - RL Shilling Place,Retirement Living,50.8674,-1.0446
Southborough Gate,a1s0O000002z5CvQAI,23845207384140024,fwl - South East - Southborough - RL Southborough Gate,Retirement Living,51.158759,0.259716
Springs Court,a1s0O000002z5AQQAY,23845443754640024,twl - North East - Cottingham - RLP Springs Court,Retirement Living Plus,53.78476,-0.41897
Staithe Gardens,a1s3X000002XLG6QAO,23843071148620024,twl - East Midlands - Stalham - RL Staithe Gardens,Retirement Living,52.77018,1.51631
Stanley Place,a1s0O000002z5ApQAI,23844217957090024,twl North West - Garstang - RL Stanley Place,Retirement Living,53.89735,-2.78277
Stapleton Court,a1s0O000002z4m6QAA,23844313860990024,swl-upw - North East - Swanland - LL Stapleton Court,Retirement Living,53.73727,-0.49174
Stone,a1s0O000002z5OBQAY,23844312090900024,swl-upw - North West - Thornton-Cleveleys - RL Burrstone Grange,Retirement Living,52.90166,-2.14758
Summerfield Place,a1s0O000002z4mCQAQ,23842713602340024,swl - West Midlands - Shrewsbury - RL Summerfield Place,Retirement Living,52.6972361,-2.7271026
Swift House,a1s0O000002z4vuQAA,23842675721320024,South East - Maidenhead - RLP Swift House,Retirement Living Plus,51.5253,-0.7261
Swinden Court,a1s0O000002z4m7QAA,23844258828060024,swl-upw - North East - Darlington - RL Swinden Court,Retirement Living,54.52687,-1.56575
Sycamore Court,a1s0O000002z5BCQAY,23844381309230024,fwl-upw - North East - Scarborough - RLP Sycamore Court,Retirement Living Plus,54.26894,-0.39992
Taunton,a1s0O000002z5BDQAY,23844243974850024,twl - Southern - Taunton - RLP Kingfisher Court,Retirement Living Plus,51.0124415,-3.0918744
